排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
1,长津湖,2021-09-30,9.5,577534,46.383896,22,"剧情,历史,战争",中国大陆
2,战狼2,2017-07-27,9.7,569454,35.594273,37,"动作,战争",中国大陆
3,你好，李焕英,2021-02-12,9.5,541320,44.756565,24,喜剧,中国大陆
4,哪吒之魔童降世,2019-07-26,9.6,503570,35.692463,23,动画,中国大陆
5,流浪地球,2019-02-05,9.2,468739,44.596836,29,"科幻,冒险,灾难",中国大陆
6,满江红,2023-01-22,9.4,454435,49.51212,24,"悬疑,喜剧,剧情",中国大陆
7,唐人街探案3,2021-02-12,8.8,452356,47.60254,29,"喜剧,悬疑",中国大陆
8,复仇者联盟4：终局之战,2019-04-24,9.1,425015,48.95791,23,"动作,科幻,奇幻,冒险",美国
9,长津湖之水门桥,2022-02-01,9.6,406745,49.286682,19,"剧情,历史,战争",中国大陆
10,流浪地球2,2023-01-22,9.3,404375,50.772953,21,"科幻,冒险,灾难",中国大陆
11,孤注一掷,2023-08-08,9.1,384984,41.41531,18,"犯罪,剧情",中国大陆
12,红海行动,2018-02-16,9.4,365228,39.27593,32,"剧情,动作",中国大陆
13,消失的她,2023-06-22,9.2,352387,41.529163,21,"悬疑,犯罪,剧情",中国大陆
14,热辣滚烫,2024-02-10,9.2,341720,48.017963,22,"喜剧,剧情",中国大陆
15,唐人街探案2,2018-02-16,9.0,339777,38.757133,38,"喜剧,动作,悬疑",中国大陆
16,美人鱼,2016-02-08,9.0,339120,36.668804,43,"喜剧,爱情,科幻",中国大陆
17,飞驰人生2,2024-02-10,9.5,336084,48.021935,19,"喜剧,剧情",中国大陆
18,抓娃娃,2024-07-16,9.4,332752,41.38267,14,"喜剧,剧情",中国大陆
19,我和我的祖国,2019-09-30,9.7,317003,38.10905,35,剧情,中国大陆
20,八佰,2020-08-21,9.2,311084,38.33633,20,"剧情,战争,历史",中国大陆
21,独行月球,2022-07-29,9.2,310310,41.605843,12,"喜剧,科幻",中国大陆
22,我不是药神,2018-07-05,9.6,310002,34.814323,26,"剧情,喜剧",中国大陆
23,中国机长,2019-09-30,9.4,291317,37.429123,25,"剧情,传记,灾难",中国大陆
24,我和我的家乡,2020-10-01,9.1,282992,38.75535,19,"剧情,喜剧",中国大陆
25,速度与激情8,2017-04-14,9.3,267093,36.648827,30,"动作,惊悚,犯罪",美国
26,封神第一部,2023-07-20,9.4,263460,43.417812,16,"神话,动作,史诗",中国大陆
27,这个杀手不太冷静,2022-02-01,9.1,262800,48.19243,14,喜剧,中国大陆
28,西虹市首富,2018-07-27,9.2,254766,35.06266,28,喜剧,中国大陆
29,捉妖记,2015-07-16,9.1,243623,37.16108,41,"喜剧,奇幻,古装",中国大陆
30,第二十条,2024-02-10,9.5,242909,46.312737,16,"喜剧,剧情,家庭",中国大陆
31,速度与激情7,2015-04-12,9.6,242313,38.856926,42,"动作,惊悚,犯罪",美国
32,复仇者联盟3：无限战争,2018-05-11,9.0,239051,38.24297,19,"动作,科幻,奇幻,冒险",美国
33,捉妖记2,2018-02-16,8.2,223723,38.314194,44,"喜剧,奇幻",中国大陆
34,疯狂的外星人,2019-02-05,8.5,221367,42.005585,30,喜剧,中国大陆
35,羞羞的铁拳,2017-09-30,9.1,221365,33.400208,25,"喜剧,奇幻",中国大陆
36,八角笼中,2023-07-06,9.5,220739,40.71143,18,剧情,中国大陆
37,海王,2018-12-07,9.3,201308,36.35835,18,"动作,奇幻,冒险","美国,澳大利亚"
38,熊出没·逆转时空,2024-02-10,9.4,198383,45.990677,22,"动画,喜剧,科幻",中国大陆
39,变形金刚4：绝迹重生,2014-06-27,9.2,197652,41.633636,50,"动作,科幻,冒险","美国,中国大陆"
40,前任3：再见前任,2017-12-29,9.1,194190,35.06071,29,"喜剧,爱情",中国大陆
41,毒液：致命守护者,2018-11-09,9.2,187065,35.510277,17,"动作,惊悚,科幻",美国
